ip_address,total_sessions,total_page_views,first_visit,last_visit,avg_session_duration_seconds,bounce_count,device,browser,browser_name,os,os_name,country,city,is_returning,bounce_rate_pct
181.214.103.166,1,1,2026-04-27 21:38:17.939000+00:00,2026-04-27 21:38:17.939000+00:00,0,1,desktop,Chrome 147.0.0.0,Chrome,Windows 10,Windows,,,False,100.0
185.10.7.214,1,1,2026-04-27 21:38:06.980000+00:00,2026-04-27 21:38:06.980000+00:00,9,1,desktop,Chrome 144.0.0.0,Chrome,Linux,Linux,,,False,100.0
45.92.85.30,1,1,2026-04-27 21:38:00.455000+00:00,2026-04-27 21:38:00.455000+00:00,5,1,desktop,Chrome 144.0.0.0,Chrome,Linux,Linux,,,False,100.0
192.178.11.105,5,5,2026-03-04 10:36:38.733000+00:00,2026-04-27 17:14:46.276000+00:00,0,5,desktop,Unknown,Unknown,Unknown,Unknown,,,True,100.0
78.240.190.164,1,1,2026-04-27 14:53:53.776000+00:00,2026-04-27 14:53:53.776000+00:00,0,1,mobile,Mobile Safari 26.3,Mobile,iOS 18.7,iOS,,,False,100.0
74.125.213.40,2,2,2026-04-27 10:49:58.822000+00:00,2026-04-27 10:50:02.129000+00:00,0,2,desktop,Unknown,Unknown,Unknown,Unknown,,,True,100.0
74.125.213.39,1,1,2026-04-27 10:49:52.998000+00:00,2026-04-27 10:49:52.998000+00:00,0,1,desktop,Unknown,Unknown,Unknown,Unknown,,,False,100.0
209.85.238.141,2,2,2026-04-22 15:29:22.554000+00:00,2026-04-27 07:12:21.665000+00:00,0,2,desktop,Unknown,Unknown,Unknown,Unknown,,,True,100.0
44.251.92.171,1,1,2026-04-25 08:48:13.557000+00:00,2026-04-25 08:48:13.557000+00:00,0,1,desktop,Chrome 140.0.0.0,Chrome,Linux,Linux,,,False,100.0
44.244.216.29,1,1,2026-04-25 08:47:29.050000+00:00,2026-04-25 08:47:29.050000+00:00,0,1,desktop,Chrome 140.0.0.0,Chrome,Linux,Linux,,,False,100.0
34.34.246.75,1,1,2026-04-24 22:38:59.017000+00:00,2026-04-24 22:38:59.017000+00:00,0,1,desktop,Chrome 124.0.0.0,Chrome,macOS 10.15.7,macOS,,,False,100.0
79.91.177.148,1,1,2026-04-24 10:36:43.811000+00:00,2026-04-24 10:36:43.811000+00:00,0,1,desktop,Chrome 146.0.0.0,Chrome,macOS 10.15.7,macOS,,,False,100.0
173.211.41.243,1,1,2026-04-23 20:50:21.918000+00:00,2026-04-23 20:50:21.918000+00:00,0,1,desktop,Chrome 147.0.0.0,Chrome,Windows 10,Windows,,,False,100.0
180.149.27.49,1,1,2026-04-23 20:50:17.279000+00:00,2026-04-23 20:50:17.279000+00:00,5,1,desktop,Chrome 144.0.0.0,Chrome,Linux,Linux,,,False,100.0
34.63.187.24,1,1,2026-04-23 20:50:06.240000+00:00,2026-04-23 20:50:06.240000+00:00,2,1,desktop,Chrome 144.0.0.0,Chrome,Linux,Linux,,,False,100.0
181.214.64.109,1,1,2026-04-23 20:50:03.099000+00:00,2026-04-23 20:50:03.099000+00:00,0,1,desktop,Chrome 146.0.0.0,Chrome,Windows 10,Windows,,,False,100.0
104.155.182.145,1,1,2026-04-23 20:49:56.821000+00:00,2026-04-23 20:49:56.821000+00:00,0,1,desktop,Chrome 144.0.0.0,Chrome,Linux,Linux,,,False,100.0
177.12.48.154,1,1,2026-04-23 20:49:47.268000+00:00,2026-04-23 20:49:47.268000+00:00,0,1,desktop,Chrome 144.0.0.0,Chrome,Linux,Linux,,,False,100.0
34.42.63.239,1,1,2026-04-23 20:48:49.171000+00:00,2026-04-23 20:48:49.171000+00:00,1,1,desktop,Chrome 144.0.0.0,Chrome,Linux,Linux,,,False,100.0
